Male,151-180km,Sixties,20 to 25 hours,Finished back of the front,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished back of the front,Cool,Flat
Male,151-180km,Fifties,20 to 25 hours,Finished back of the front,Cool,Flat
Male,151-180km,Fifties,20 to 25 hours,Finished back of the front,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished back of the front,Cool,Flat
Female,151-180km,Thirties,20 to 25 hours,Finished back of the front,Cool,Flat
Female,151-180km,Twenties,20 to 25 hours,Finished at the middle,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished at the middle,Cool,Flat
Female,151-180km,Fifties,20 to 25 hours,Finished at the middle,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished at the middle,Cool,Flat
Male,151-180km,Fifties,20 to 25 hours,Finished at the middle,Cool,Flat
Male,151-180km,Sixties,20 to 25 hours,Finished at the middle,Cool,Flat
Male,151-180km,Fifties,20 to 25 hours,Finished at the middle,Cool,Flat
Female,151-180km,Twenties,20 to 25 hours,Finished at the middle,Cool,Flat
Male,151-180km,Thirties,20 to 25 hours,Finished at the middle,Cool,Flat
Male,151-180km,Thirties,20 to 25 hours,Finished at the middle,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished at the middle,Cool,Flat
Female,151-180km,Fifties,20 to 25 hours,Finished at the middle,Cool,Flat
Female,151-180km,Forties,20 to 25 hours,Finished at the middle,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished at the middle,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished at the middle,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished at the middle,Cool,Flat
Male,151-180km,Thirties,20 to 25 hours,Finished at the middle,Cool,Flat
Male,151-180km,Fifties,20 to 25 hours,Finished at the middle,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished at the middle,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished at the middle,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished at the middle,Cool,Flat
Female,151-180km,Thirties,20 to 25 hours,Finished at the middle,Cool,Flat
Female,151-180km,Fifties,20 to 25 hours,Finished at the middle,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished at the middle,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished at the middle,Cool,Flat
Female,151-180km,Thirties,20 to 25 hours,Finished at the middle,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished at the middle,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished at the middle,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished at the middle,Cool,Flat
Female,151-180km,Forties,20 to 25 hours,Finished at the middle,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished at the middle,Cool,Flat
Female,151-180km,Thirties,20 to 25 hours,Finished at the middle,Cool,Flat
Male,151-180km,Fifties,20 to 25 hours,Finished at the middle,Cool,Flat
Male,151-180km,Fifties,20 to 25 hours,Finished at the middle,Cool,Flat
Male,151-180km,Fifties,20 to 25 hours,Finished at the middle,Cool,Flat
Male,151-180km,Fifties,20 to 25 hours,Finished at the middle,Cool,Flat
Female,151-180km,Forties,20 to 25 hours,Finished at the middle,Cool,Flat
Male,151-180km,Fifties,20 to 25 hours,Finished at the middle,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished at the middle,Cool,Flat
Female,151-180km,Thirties,20 to 25 hours,Finished at the middle,Cool,Flat
Male,151-180km,Sixties,20 to 25 hours,Finished towards the back,Cool,Flat
Female,151-180km,Fifties,20 to 25 hours,Finished towards the back,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished towards the back,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished towards the back,Cool,Flat
Female,151-180km,Thirties,20 to 25 hours,Finished towards the back,Cool,Flat
Female,151-180km,Forties,20 to 25 hours,Finished towards the back,Cool,Flat
Male,151-180km,Fifties,20 to 25 hours,Finished towards the back,Cool,Flat
Female,151-180km,Fifties,20 to 25 hours,Finished towards the back,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished towards the back,Cool,Flat
Female,151-180km,Forties,20 to 25 hours,Finished towards the back,Cool,Flat
Male,151-180km,Thirties,20 to 25 hours,Finished towards the back,Cool,Flat
Male,151-180km,Seventies,20 to 25 hours,Finished towards the back,Cool,Flat
Female,151-180km,Forties,20 to 25 hours,Finished towards the back,Cool,Flat
Male,151-180km,Thirties,20 to 25 hours,Finished towards the back,Cool,Flat
Male,151-180km,Thirties,20 to 25 hours,Finished towards the back,Cool,Flat
Female,151-180km,Twenties,20 to 25 hours,Finished towards the back,Cool,Flat
Female,151-180km,Thirties,20 to 25 hours,Finished towards the back,Cool,Flat
Female,151-180km,Fifties,20 to 25 hours,Finished towards the back,Cool,Flat
Male,151-180km,Thirties,20 to 25 hours,Finished towards the back,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished towards the back,Cool,Flat
Male,151-180km,Twenties,20 to 25 hours,Finished towards the back,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished towards the back,Cool,Flat
Female,151-180km,Forties,20 to 25 hours,Finished towards the back,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished towards the back,Cool,Flat
Male,151-180km,Fifties,20 to 25 hours,Finished towards the back,Cool,Flat
Male,151-180km,Thirties,20 to 25 hours,Finished towards the back,Cool,Flat
Male,151-180km,Sixties,20 to 25 hours,Finished towards the back,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished towards the back,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished towards the back,Cool,Flat
Male,151-180km,Sixties,20 to 25 hours,Finished towards the back,Cool,Flat
Male,151-180km,Thirties,20 to 25 hours,Finished towards the back,Cool,Flat
Female,151-180km,Forties,20 to 25 hours,Finished towards the back,Cool,Flat
Male,151-180km,Thirties,20 to 25 hours,Finished towards the back,Cool,Flat
Male,151-180km,Fifties,20 to 25 hours,Finished towards the back,Cool,Flat
Female,151-180km,Fifties,20 to 25 hours,Finished towards the back,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished towards the back,Cool,Flat
Male,151-180km,Fifties,20 to 25 hours,Finished towards the back,Cool,Flat
Female,151-180km,Thirties,20 to 25 hours,Finished towards the back,Cool,Flat
Male,151-180km,Fifties,20 to 25 hours,Finished towards the back,Cool,Flat
Female,151-180km,Sixties,20 to 25 hours,Finished towards the back,Cool,Flat
Male,151-180km,Fifties,20 to 25 hours,Finished at the back,Cool,Flat
Male,151-180km,Thirties,20 to 25 hours,Finished at the back,Cool,Flat
Male,151-180km,Thirties,20 to 25 hours,Finished at the back,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished at the back,Cool,Flat
Male,151-180km,Thirties,20 to 25 hours,Finished at the back,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished at the back,Cool,Flat
Male,151-180km,Fifties,20 to 25 hours,Finished at the back,Cool,Flat
Female,151-180km,Fifties,20 to 25 hours,Finished at the back,Cool,Flat
Female,151-180km,Fifties,20 to 25 hours,Finished at the back,Cool,Flat
Female,151-180km,Fifties,20 to 25 hours,Finished at the back,Cool,Flat
Female,151-180km,Forties,20 to 25 hours,Finished at the back,Cool,Flat
Female,151-180km,Thirties,20 to 25 hours,Finished at the back,Cool,Flat
Female,151-180km,Forties,20 to 25 hours,Finished at the back,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished at the back,Cool,Flat
Male,151-180km,Fifties,20 to 25 hours,Finished at the back,Cool,Flat
Male,151-180km,Twenties,20 to 25 hours,Finished at the back,Cool,Flat
Female,151-180km,Sixties,20 to 25 hours,Finished at the back,Cool,Flat
Male,151-180km,Thirties,20 to 25 hours,Finished at the back,Cool,Flat
Female,151-180km,Forties,20 to 25 hours,Finished at the back,Cool,Flat
Male,151-180km,Thirties,20 to 25 hours,Finished at the back,Cool,Flat
Male,151-180km,Twenties,20 to 25 hours,Finished at the back,Cool,Flat
Male,151-180km,Fifties,20 to 25 hours,Finished at the back,Cool,Flat
Female,151-180km,Thirties,20 to 25 hours,Finished at the back,Cool,Flat
Male,151-180km,Fifties,20 to 25 hours,Finished at the back,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished at the back,Cool,Flat
Female,151-180km,Sixties,20 to 25 hours,Finished at the back,Cool,Flat
Female,151-180km,Forties,20 to 25 hours,Finished at the back,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished at the back,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished at the back,Cool,Flat
Female,151-180km,Fifties,20 to 25 hours,Finished at the back,Cool,Flat
Male,151-180km,Thirties,20 to 25 hours,Finished at the back,Cool,Flat
Female,151-180km,Fifties,20 to 25 hours,Finished at the back,Cool,Flat
Female,151-180km,Twenties,20 to 25 hours,Finished at the back,Cool,Flat
Female,151-180km,Forties,20 to 25 hours,Finished at the back,Cool,Flat
Male,151-180km,Thirties,20 to 25 hours,Finished at the back,Cool,Flat
Female,151-180km,Forties,20 to 25 hours,Finished at the back,Cool,Flat
Female,151-180km,Thirties,20 to 25 hours,Finished at the back,Cool,Flat
Male,151-180km,Fifties,20 to 25 hours,Finished at the back,Cool,Flat
Male,151-180km,Twenties,20 to 25 hours,Finished at the back,Cool,Flat
Male,151-180km,Fifties,20 to 25 hours,Finished at the back,Cool,Flat
Male,151-180km,Thirties,20 to 25 hours,,Cool,Flat
Male,151-180km,Forties,10 to 15 hours,Finished at the top,Cool,Flat
Male,151-180km,Thirties,10 to 15 hours,Finished at the top,Cool,Flat
Male,151-180km,Thirties,15 to 20 hours,Finished at the top,Cool,Flat
Male,151-180km,Thirties,15 to 20 hours,Finished at the top,Cool,Flat
Male,151-180km,Thirties,15 to 20 hours,Finished at the top,Cool,Flat
Male,151-180km,Forties,15 to 20 hours,Finished towards the front,Cool,Flat
Male,151-180km,Thirties,15 to 20 hours,Finished towards the front,Cool,Flat
Male,151-180km,Thirties,15 to 20 hours,Finished towards the front,Cool,Flat
Male,151-180km,Thirties,15 to 20 hours,Finished towards the front,Cool,Flat
Male,151-180km,Thirties,15 to 20 hours,Finished towards the front,Cool,Flat
Male,151-180km,Forties,15 to 20 hours,Finished towards the front,Cool,Flat
Female,151-180km,Thirties,15 to 20 hours,Finished towards the front,Cool,Flat
Male,151-180km,Thirties,15 to 20 hours,Finished towards the front,Cool,Flat
Male,151-180km,Thirties,15 to 20 hours,Finished towards the front,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished towards the front,Cool,Flat
Male,151-180km,Thirties,20 to 25 hours,Finished towards the front,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished towards the front,Cool,Flat
Male,151-180km,Thirties,20 to 25 hours,Finished back of the front,Cool,Flat
Female,151-180km,Forties,20 to 25 hours,Finished back of the front,Cool,Flat
Male,151-180km,Fifties,20 to 25 hours,Finished back of the front,Cool,Flat
Male,151-180km,Thirties,20 to 25 hours,Finished back of the front,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished back of the front,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished back of the front,Cool,Flat
Male,151-180km,Thirties,20 to 25 hours,Finished back of the front,Cool,Flat
Male,151-180km,Thirties,20 to 25 hours,Finished back of the front,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished back of the front,Cool,Flat
Male,151-180km,Thirties,20 to 25 hours,Finished back of the front,Cool,Flat
Male,151-180km,Twenties,20 to 25 hours,Finished back of the front,Cool,Flat
Male,151-180km,Fifties,20 to 25 hours,Finished back of the front,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished back of the front,Cool,Flat
Female,151-180km,Twenties,20 to 25 hours,Finished back of the front,Cool,Flat
Male,151-180km,Sixties,20 to 25 hours,Finished back of the front,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished back of the front,Cool,Flat
